iter	Logloss
0	0.6905755682
1	0.6877382114
2	0.6852133445
3	0.6825879511
4	0.6806726654
5	0.6786480187
6	0.6761279219
7	0.6742208371
8	0.6722263957
9	0.6699414243
10	0.6680602353
11	0.6666243556
12	0.664307
13	0.6626693392
14	0.6604609007
15	0.6581226139
16	0.6563177419
17	0.6541227065
18	0.6518384969
19	0.649927012
20	0.6481566057
21	0.6466275537
22	0.6448165973
23	0.6428943948
24	0.6408033853
25	0.6385390488
26	0.6365349093
27	0.6350757047
28	0.6332553023
29	0.6317705047
30	0.6301640332
31	0.6293805234
32	0.6276071044
33	0.6250228566
34	0.6227860237
35	0.6211650868
36	0.6192612163
37	0.6173054652
38	0.6149968899
39	0.613595758
40	0.6114632765
41	0.6099582183
42	0.6074323771
43	0.6053169256
44	0.6038535877
45	0.6020752609
46	0.6006688841
47	0.5994827119
48	0.5980070213
49	0.5962004019
50	0.5941559123
51	0.5924204483
52	0.5903649602
53	0.5881426983
54	0.5874626268
55	0.5858020674
56	0.5838745473
57	0.5821396676
58	0.5806250055
59	0.5793610022
60	0.5776286254
61	0.5755055398
62	0.5741494161
63	0.5725282726
64	0.5710939131
65	0.5694577907
66	0.5677164764
67	0.5662468277
68	0.5645257702
69	0.5625222211
70	0.5606876454
71	0.5593962138
72	0.5573700789
73	0.5559148794
74	0.5540091267
75	0.5523968982
76	0.5510692363
77	0.5494889629
78	0.5478027574
79	0.5460126318
80	0.5444628205
81	0.5429609593
82	0.541416655
83	0.5402999602
84	0.5388594825
85	0.5374131752
86	0.5356143246
87	0.5342923999
88	0.5326435747
89	0.530889708
90	0.5292058225
91	0.5275392053
92	0.5260469978
93	0.5241916846
94	0.5222151437
95	0.5207635772
96	0.5196082896
97	0.5185634061
98	0.5167938518
99	0.5153516759
100	0.5139295868
101	0.5125609455
102	0.5112147997
103	0.5096983086
104	0.5084487048
105	0.5069999899
106	0.5059841275
107	0.5045895974
108	0.5027525174
109	0.5014623123
110	0.5001920281
111	0.4985396056
112	0.4970357681
113	0.4960366096
114	0.4947293991
115	0.493141245
116	0.4917268157
117	0.49004401
118	0.4890598368
119	0.4878648327
120	0.4866764364
121	0.4853454466
122	0.4830511049
123	0.4814819431
124	0.4801676098
125	0.4789250551
126	0.4778639066
127	0.4768254529
128	0.4753445399
129	0.4738164941
130	0.4726172189
131	0.4711774097
132	0.4697697057
133	0.468305981
134	0.466961496
135	0.4652546603
136	0.4636897737
137	0.4622117339
138	0.4608635891
139	0.4593640169
140	0.4582433338
141	0.4571099468
142	0.4559428598
143	0.4546854625
144	0.4540085115
145	0.4528532402
146	0.4512700532
147	0.4500680344
