iter	Passed	Remaining
0	0	649
1	1	600
2	1	576
3	2	567
4	2	559
5	3	524
6	3	502
7	4	505
8	4	510
9	5	511
10	5	511
11	6	511
12	6	511
13	7	513
14	7	516
15	8	515
16	8	514
17	9	514
18	9	514
19	10	507
20	10	507
21	11	507
22	11	507
23	12	506
24	12	505
25	13	506
26	13	499
27	14	499
28	14	499
29	15	498
30	15	498
31	16	498
32	17	498
33	17	495
34	17	494
35	18	494
36	18	491
37	19	491
38	19	491
39	20	491
40	21	491
41	21	491
42	22	490
43	22	490
44	23	488
45	23	487
46	23	485
47	24	485
48	24	485
49	25	481
50	25	477
51	26	477
52	26	477
53	27	474
54	27	473
55	28	473
56	28	473
57	29	473
58	29	473
59	30	472
60	30	472
61	31	472
62	31	472
63	32	472
64	32	472
65	33	472
66	33	471
67	34	471
68	34	471
69	35	471
70	35	470
71	36	470
72	36	469
73	37	469
74	38	468
75	38	466
76	38	466
77	39	465
78	39	465
79	40	465
80	40	465
81	41	465
82	42	464
83	42	464
84	43	463
85	43	463
86	44	463
87	44	462
88	45	462
89	45	462
90	46	461
91	46	461
92	47	460
93	47	460
94	48	460
95	48	458
96	49	457
97	49	456
98	50	456
99	50	456
100	51	455
101	51	455
102	52	454
103	52	454
104	53	453
105	53	453
106	54	452
107	54	452
108	55	451
109	55	451
110	56	450
111	56	450
112	57	450
113	57	449
114	58	449
115	58	448
116	59	448
117	59	448
118	60	447
119	60	447
120	61	446
121	61	445
122	62	445
123	62	445
124	63	443
125	63	443
126	64	443
127	64	442
128	65	442
129	66	441
130	66	441
131	67	441
132	67	440
133	68	440
134	68	439
135	69	439
136	69	439
137	70	438
138	70	438
139	71	438
140	71	437
141	72	437
142	72	437
143	73	436
144	73	436
145	74	435
146	75	435
147	75	434
148	76	434
149	76	433
150	77	433
151	77	432
152	78	432
153	78	431
154	78	430
155	79	430
156	80	429
157	80	429
158	80	428
159	81	427
160	82	427
161	82	427
162	83	426
163	84	428
164	84	428
165	85	427
166	85	427
167	86	427
168	86	426
169	87	426
170	87	425
171	88	425
172	88	425
173	89	424
174	89	424
175	90	423
176	91	423
177	91	422
178	92	422
179	92	421
180	93	421
181	93	420
182	94	419
183	94	419
184	95	418
185	95	418
186	95	417
187	96	416
188	97	416
189	97	415
190	98	415
191	98	414
192	98	413
193	99	413
194	100	412
195	100	412
196	101	412
197	101	412
198	102	412
199	102	411
200	103	411
201	104	410
202	104	410
203	105	409
204	105	409
205	106	408
206	106	408
207	107	407
208	107	407
209	108	406
210	108	406
211	109	406
212	109	405
213	110	405
214	110	404
215	111	404
216	111	403
217	112	403
218	112	402
219	113	402
220	114	401
221	114	401
222	115	400
223	115	399
224	115	399
225	116	398
226	116	398
227	117	397
228	117	397
229	118	396
230	118	395
231	119	395
232	119	394
233	120	394
234	121	393
235	121	393
236	122	393
237	122	392
238	123	392
239	123	391
240	124	391
241	124	391
242	125	390
243	126	390
244	126	390
245	127	389
246	127	388
247	128	388
248	128	388
249	129	387
250	129	387
251	130	386
252	130	386
253	131	385
254	131	385
255	132	384
256	133	384
257	133	384
258	134	383
259	134	383
260	135	382
261	135	382
262	136	381
263	136	381
264	137	380
265	137	380
266	138	380
267	138	379
268	139	379
269	140	378
270	140	378
271	141	377
272	141	377
273	142	376
274	142	376
275	143	375
276	143	375
277	144	374
278	144	374
279	145	373
280	145	373
281	146	373
282	147	372
283	147	372
284	148	371
285	148	371
286	149	370
287	149	370
288	150	370
289	150	369
290	151	369
291	152	368
292	152	368
293	153	367
294	154	368
295	154	368
296	155	367
297	155	367
298	156	366
299	156	366
300	157	365
301	158	365
302	158	364
303	158	363
304	159	363
305	160	363
306	160	362
307	161	361
308	161	361
309	162	360
310	162	360
311	163	360
312	163	359
313	164	359
314	164	358
315	165	358
316	166	357
317	166	357
318	167	356
319	167	356
320	168	355
321	168	355
322	169	354
323	169	354
324	170	353
325	170	353
326	171	352
327	172	352
328	172	351
329	173	351
330	173	350
331	174	350
332	174	349
333	175	349
334	175	349
335	176	348
336	176	348
337	177	347
338	178	347
339	178	346
340	179	346
341	179	345
342	180	344
343	180	344
344	181	343
345	181	343
346	182	342
